community,area,status,property_type,price,capital_gain_percent,price_per_sqft,size_sqft,beds,sold_date,sold_by,median_price_per_sqft,median_price,transactions,rental_yield_percent,predicted_type,prediction_confidence,prediction_reason
Yasmin,Arabian Ranches 2,Ready,Villa,11500000,174.0,1430,8044,4.0,15 Jul 2025,Individual (4 Times),1400,5915000,124,6,Likely Type 2,50,bedrooms match; BUA 8044 within standard range 4006–8612
Rosa,Arabian Ranches 2,Ready,Villa,11200000,85.0,1153,9718,5.0,11 Jul 2025,Individual (3 Times),1400,5915000,124,6,Possible Type 4,26,bedrooms match; BUA 9718 well above range — heavily extended or wrong type (max 5905)
Lila,Arabian Ranches 2,Ready,Villa,6200000,55.0,1020,6076,4.0,10 Jul 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 2,26,bedrooms match; BUA 6076 well above range — heavily extended or wrong type (max 3493)
Rosa,Arabian Ranches 2,Ready,Villa,8300000,104.0,1244,6673,4.0,03 Jul 2025,Individual (2 Times),1400,5915000,124,6,Possible Type 3,34,bedrooms match; BUA 6673 above range — likely extended (max 5199)
Samara,Arabian Ranches 2,Ready,Villa,6999000,7.0,1424,4916,5.0,02 Jul 2025,Individual (1 Time),1400,5915000,124,6,Likely Type 3,50,bedrooms match; BUA 4916 within standard range 3799–5159
Casa,Arabian Ranches 2,Ready,Villa,6150000,66.0,1411,4359,4.0,02 Jul 2025,Individual (1 Time),1400,5915000,124,6,Likely Type 4,50,bedrooms match; BUA 4359 within standard range 4010–4708
Camelia,Arabian Ranches 2,Ready,Villa,3350000,127.0,1778,1884,3.0,01 Jul 2025,Individual (1 Time),1400,5915000,124,6,Likely Type 1M,50,bedrooms match; BUA 1884 within standard range 1386–2122
Casa,Arabian Ranches 2,Ready,Villa,6150000,43.0,1323,4650,4.0,01 Jul 2025,Individual (2 Times),1400,5915000,124,6,Likely Type 4,50,bedrooms match; BUA 4650 within standard range 4010–4708
Reem,Arabian Ranches 2,Ready,Villa,3600000,74.0,1848,1948,3.0,25 Jun 2025,Individual (1 Time),1400,5915000,124,6,Likely Type 1M,50,bedrooms match; BUA 1948 within standard range 1849–2043
Camelia,Arabian Ranches 2,Ready,Villa,4650000,51.0,1578,2947,4.0,24 Jun 2025,Individual (2 Times),1400,5915000,124,6,Likely Type 1E,50,bedrooms match; BUA 2947 within standard range 1995–3460
Palma,Arabian Ranches 2,Ready,Villa,7700000,67.0,1552,4961,4.0,23 Jun 2025,Individual (2 Times),1400,5915000,124,6,Possible Type 5,34,bedrooms match; BUA 4961 above range — likely extended (max 3870)
Rosa,Arabian Ranches 2,Ready,Villa,9200000,92.0,1213,7583,4.0,19 Jun 2025,Individual (2 Times),1400,5915000,124,6,Possible Type 1,26,bedrooms match; BUA 7583 well above range — heavily extended or wrong type (max 4654)
